total_standing,correct_standing,accuracy_standing,total_straight,correct_straight,accuracy_straight,total_diagonal,correct_diagonal,accuracy_diagonal,overall_accuracy,macro_f1,macro_auc,cm_standing_standing,cm_standing_straight,cm_standing_diagonal,cm_straight_standing,cm_straight_straight,cm_straight_diagonal,cm_diagonal_standing,cm_diagonal_straight,cm_diagonal_diagonal,participant_id,model,n_features_final,best_params,inner_best_score,cv_mode,repeat,fold,channel_mode,ablation
8,8,1.0,8,8,1.0,8,6,0.75,0.9166666666666666,0.9153439153439153,1.0,8,0,0,0,8,0,0,2,6,P30,xgb,149,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 16, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9476430976430977,repeated_stratified,0,0,full,window
8,7,0.875,8,1,0.125,8,6,0.75,0.5833333333333334,0.525925925925926,0.9140625,7,0,1,2,1,5,1,1,6,P30,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9603896103896102,repeated_stratified,0,1,full,window
8,7,0.875,8,7,0.875,8,4,0.5,0.75,0.7424089068825911,0.875,7,1,0,0,7,1,1,3,4,P30,xgb,148,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.968999518999519,repeated_stratified,0,2,full,window
8,8,1.0,8,6,0.75,8,5,0.625,0.7916666666666666,0.7908496732026143,0.8697916666666666,8,0,0,0,6,2,0,3,5,P30,xgb,149,"{'subsample': 0.6, 'reg_lambda': 3, 'reg_alpha': 0.1, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'n_estimators': 300}",0.9677729677729677,repeated_stratified,0,3,full,window
8,7,0.875,8,8,1.0,8,5,0.625,0.8333333333333334,0.826058201058201,0.8958333333333334,7,0,1,0,8,0,1,2,5,P30,xgb,147,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.955074555074555,repeated_stratified,0,4,full,window
8,7,0.875,8,6,0.75,8,5,0.625,0.75,0.7491830065359477,0.9244791666666666,7,1,0,0,6,2,1,2,5,P30,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9553872053872053,repeated_stratified,1,0,full,window
8,8,1.0,8,7,0.875,8,5,0.625,0.8333333333333334,0.8263305322128852,0.921875,8,0,0,0,7,1,1,2,5,P30,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9593073593073593,repeated_stratified,1,1,full,window
8,8,1.0,8,6,0.75,8,3,0.375,0.7083333333333334,0.6977058029689608,0.8723958333333334,8,0,0,0,6,2,0,5,3,P30,xgb,149,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9540644540644542,repeated_stratified,1,2,full,window
8,8,1.0,8,6,0.75,8,8,1.0,0.9166666666666666,0.9131652661064426,0.9739583333333334,8,0,0,1,6,1,0,0,8,P30,xgb,150,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9644540644540646,repeated_stratified,1,3,full,window
8,8,1.0,8,7,0.875,8,5,0.625,0.8333333333333334,0.8306878306878307,0.9505208333333334,8,0,0,0,7,1,0,3,5,P30,xgb,148,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9517316017316017,repeated_stratified,1,4,full,window
8,8,1.0,8,7,0.875,8,4,0.5,0.7916666666666666,0.7815617475060198,0.8880208333333334,8,0,0,1,7,0,0,4,4,P30,xgb,148,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 0, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'n_estimators': 300}",0.9770562770562771,repeated_stratified,2,0,full,window
